electricity_facility [W],gas_facility [W]
6949.403159,0
5786.341952,0
6083.222131,286.2568155
6646.360287,447.1497266
7027.88394,583.0633183
6852.406102,695.5677545
7129.646249,934.4628897
7355.724975,1107.911853
7540.740976,1216.50567
7678.841786,1295.681775
7790.510954,1382.183244
7883.054932,1468.783708
7961.930143,1552.632616
7741.988219,1635.448662
7819.802289,1777.121381
7885.95787,1888.07492
7945.439507,1970.544544
8000.548817,2051.306611
8051.825606,2136.505054
8100.539613,2222.151637
8147.705965,2306.61952
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1217.522334,0
1217.522334,0
1217.522334,0
1217.522334,0
14747.03717,10242.85674
14118.44696,5613.398258
12852.34521,4801.601311
11350.04119,4428.362686
11216.62051,4331.346869
10808.01369,3863.325902
10516.06365,3732.00294
10240.82466,3601.274298
11445.97531,3329.787062
11059.64331,2897.951131
10761.93869,2781.267369
10507.1926,2672.728091
10261.61576,2575.129231
10038.60945,2466.240504
9790.917184,2363.120993
9510.742281,2268.12211
9188.535127,2078.723832
8858.242393,1900.031106
8606.163471,1722.883363
8402.729695,1571.5259
8220.562591,1427.706989
8051.855019,1269.007629
7866.674453,1114.910637
7676.958859,962.4946039
7784.546954,803.4410775
7614.613947,644.2045075
7486.171519,488.3430703
7375.020906,334.5645427
7066.735387,0
6929.252621,0
7784.466294,0
8815.655947,0
9799.715048,0
10804.50927,0
11827.10975,0
12862.88263,0
14369.75338,0
15971.24371,0
16300.608,0
16649.76839,0
16684.60059,0
16735.28144,0
16797.2016,0
16854.77944,0
15964.21893,0
16141.80326,0
16352.60864,0
16502.31079,0
16116.56513,0
16233.91924,0
16315.28026,0
16370.05483,0
16199.10659,0
15933.93017,0
15316.46848,0
14703.33735,0
13805.64766,0
13144.01464,0
12858.9503,0
12514.61808,0
12166.99288,0
11817.052,0
11466.21012,0
11114.78774,0
1192.093302,0
1192.093302,0
1192.093302,0
1192.093302,0
1037.950651,0
1037.950651,0
1037.950651,0
1037.950651,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
1050.665167,0
